epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1736.24,1.31575,1.61671,1.63162,0.94478,0.81029,0.86246,0.72566,0.58727,0.55469,1.16389,0.00332805,0.00332805,0.00332805
2,3527.14,1.26096,1.34159,1.51129,0.94048,0.81292,0.82569,0.7074,0.62473,0.63562,1.20831,0.00659544,0.00659544,0.00659544
3,5301.96,1.26836,1.34578,1.49293,0.8954,0.70257,0.75769,0.63652,0.70135,0.8948,1.25209,0.00979682,0.00979682,0.00979682
4,7084.34,1.28732,1.37497,1.49225,0.93412,0.78617,0.8262,0.70575,0.66145,0.69018,1.22543,0.009703,0.009703,0.009703
5,8896.75,1.27045,1.32099,1.46678,0.91676,0.79421,0.83964,0.70536,0.63948,0.65073,1.22239,0.009604,0.009604,0.009604
6,10689.7,1.26274,1.2902,1.44948,0.93531,0.81029,0.84393,0.70703,0.645,0.57402,1.22286,0.009505,0.009505,0.009505
7,12455.4,1.23183,1.27134,1.43204,0.93138,0.80743,0.83844,0.70623,0.66187,0.67098,1.2541,0.009406,0.009406,0.009406
8,14247.3,1.23807,1.25003,1.42299,0.93747,0.80707,0.84629,0.70809,0.66493,0.56671,1.25806,0.009307,0.009307,0.009307
9,15998.4,1.22167,1.22247,1.41557,0.9324,0.80386,0.84694,0.69696,0.64495,0.58095,1.21245,0.009208,0.009208,0.009208
10,17730.5,1.23363,1.23167,1.41453,0.92729,0.80707,0.84762,0.70292,0.65262,0.61408,1.22121,0.009109,0.009109,0.009109
11,19468.6,1.19388,1.17737,1.39677,0.93579,0.79659,0.83678,0.71748,0.6374,0.62716,1.20646,0.00901,0.00901,0.00901
12,21254.8,1.20095,1.17171,1.38809,0.94409,0.81448,0.86186,0.72904,0.63077,0.5604,1.21745,0.008911,0.008911,0.008911
13,23012.3,1.19247,1.16249,1.38163,0.93648,0.81672,0.85062,0.71148,0.63612,0.53176,1.20401,0.008812,0.008812,0.008812
14,24773,1.18809,1.14383,1.37982,0.91842,0.8119,0.85298,0.71842,0.61837,0.55794,1.19614,0.008713,0.008713,0.008713
15,26516.6,1.18279,1.14064,1.36587,0.93958,0.79904,0.84603,0.70475,0.66306,0.59362,1.22759,0.008614,0.008614,0.008614
16,28263.7,1.17573,1.12212,1.364,0.9418,0.81511,0.85699,0.71295,0.6331,0.55768,1.19413,0.008515,0.008515,0.008515
